0.02 1e-3 
0.02 1e-4 
0.02 1e-5 
0.05 1e-3 
0.05 1e-4 
0.05 1e-5 
0.1 1e-3 
0.1 1e-4 
0.1 1e-5 
0.2 1e-3 
0.2 1e-4 
0.2 1e-5 
0.3 1e-3 
0.3 1e-4 
0.3 1e-5 
0.4 1e-3 
0.4 1e-4 
0.4 1e-5 
0.5 1e-3 
0.5 1e-4 
0.5 1e-5 
0.02 1e-3 0.002537236171
0.02 1e-4 0.000364237201
0.02 1e-5 0.000001954139
0.05 1e-3 0.002537236171
0.05 1e-4 0.000364359100
0.05 1e-5 0.000003911267
0.1 1e-3 0.002537236171
0.1 1e-4 0.000364527408
0.1 1e-5 0.000004990692
0.2 1e-3 0.002537236171
0.2 1e-4 0.000362995371
0.2 1e-5 0.000021743002
0.3 1e-3 0.002537236171
0.3 1e-4 0.000369689047
0.3 1e-5 0.000054709014
0.4 1e-3 0.002537236171
0.4 1e-4 0.000379373201
0.4 1e-5 0.000053949420
0.5 1e-3 0.002537236171
0.5 1e-4 0.000417040076
0.5 1e-5 0.000104155016
